10,0.002031459,1.2042E-5,9.56375E-4,1.9542E-5,2.8708E-5,1.75E-5,1.4083E-5,1.3584E-5
20,3.40375E-4,2.2209E-5,4.39875E-4,3.7875E-5,5.1584E-5,3.8292E-5,1.3542E-5,8.625E-6
30,0.002363458,4.7625E-5,4.56958E-4,3.8833E-5,4.9041E-5,2.0875E-5,1.3417E-5,3.2875E-5
40,4.27959E-4,3.6625E-5,5.40334E-4,4.8208E-5,9.9875E-5,1.95E-5,1.7333E-5,6.8834E-5
50,5.39209E-4,3.1584E-5,5.42916E-4,6.2708E-5,1.18E-4,2.1209E-5,2.2583E-5,2.5792E-5
60,5.50167E-4,3.35E-5,8.2825E-4,9.7625E-5,2.58791E-4,1.62459E-4,2.7625E-5,2.5708E-5
70,0.001144208,3.425E-5,5.15792E-4,8.5208E-5,2.41542E-4,4.7792E-5,3.0959E-5,3.3291E-5
80,6.63875E-4,4.3417E-5,6.84625E-4,1.7575E-4,2.54542E-4,2.0959E-5,3.6084E-5,3.5167E-5
90,9.39667E-4,3.4375E-5,5.57E-4,1.25708E-4,3.49833E-4,2.8875E-5,4.2583E-5,4.3E-5
100,7.06375E-4,4.15E-5,5.88292E-4,1.34625E-4,3.19666E-4,2.4541E-5,4.8792E-5,4.425E-5
110,8.90167E-4,1.06917E-4,5.82458E-4,1.21792E-4,3.09083E-4,2.1541E-5,4.8041E-5,4.2875E-5
120,8.70916E-4,4.0291E-5,6.10875E-4,1.56708E-4,5.02416E-4,8.5916E-5,5.3333E-5,4.9709E-5
